ftmp_id,size,max,sat,normratio,scale,exp
36,11x160x160x16,20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046 20.586046,14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965 14.151965,,1,0
38,11x160x160x16,10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897 10.825897,6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553 6.7658553,,1,0
42,11x160x160x32,18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037 18.912037,11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447 11.819447,,1,0
44,11x160x160x32,15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046 15.723046,8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974 8.843974,,1,0
47,11x160x160x32,26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556,15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168 15.576168,,1,0
51,11x160x160x96,26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556 26.234556,16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798 16.395798,,1,0
55,11x160x160x128,21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785,13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933 13.017933,,1,0
57,11x160x160x128,21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785 21.925785,11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906 11.647906,,1,0
61,11x80x80x128,16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485 16.391485,11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395 11.268395,,1,0
63,11x80x80x128,16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483 16.391483,9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959 9.219959,,1,0
